Date,Open,High,Low,Close,Volume
2024-03-28,177.45,179.57001,175.3,175.78999,77654800.0
2024-04-01,176.17,176.75,170.21001,175.22,81562100.0
2024-04-02,164.75,167.69,163.42999,166.63,116650600.0
2024-04-03,164.020004,168.82001,163.28,168.38,82950100.0
2024-04-04,170.070007,177.19,168.0099945,171.11,123162000.0
2024-04-05,169.080002,170.86,160.50999,164.89999,141250700.0
2024-04-08,169.34,174.5,167.78999,172.98,104423300.0
2024-04-09,172.91,179.22,171.92,176.88,103232700.0
2024-04-10,173.039993,174.92999,170.0099945,171.75999,84532400.0
2024-04-11,172.55,175.88,168.50999,174.60001,94516000.0
2024-04-12,172.34,173.81,170.36,171.050003,64506600.0
2024-04-15,170.24001,170.69,161.38,161.48,100245300.0
2024-04-16,156.74001,158.19,153.75,157.11,97000000.0
2024-04-17,157.64,158.33,153.78,155.45,82439700.0
2024-04-18,151.25,152.2,148.7,149.92999,96098800.0
2024-04-19,148.97,150.94,146.22,147.050003,86005100.0
2024-04-22,140.56,144.44,138.8,142.050003,107097600.0
2024-04-23,143.33,147.25999,141.11,144.67999,124545100.0
2024-04-24,162.84,167.97,157.50999,162.13,181178000.0
2024-04-25,158.96001,170.88,158.36,170.17999,126427500.0
2024-04-26,168.85001,172.12,166.37,168.28999,109815700.0
2024-04-29,188.42,198.87,184.53999,194.050003,243869700.0
2024-04-30,186.98,190.95,182.84,183.28,127031800.0
2024-05-01,182.0,185.86,179.0099945,179.99001,92829700.0
2024-05-02,182.86,184.60001,176.020004,180.0099945,89148000.0
2024-05-03,182.10001,184.78,178.42,181.19,75491500.0
2024-05-06,183.8,187.56,182.2,184.75999,84390300.0
2024-05-07,182.39999,183.25999,177.39999,177.81,75045900.0
2024-05-08,171.59,176.059998,170.14999,174.72,79969500.0
2024-05-09,175.0099945,175.62,171.37,171.97,65950300.0
2024-05-10,173.050003,173.059998,167.75,168.47,72627200.0
2024-05-13,170.0,175.39999,169.0,171.89,67018900.0
2024-05-14,174.5,179.49001,174.070007,177.55,86407400.0
2024-05-15,179.89999,180.0,173.11,173.99001,79663000.0
2024-05-16,174.10001,175.78999,171.42999,174.84,59812200.0
2024-05-17,173.55,179.63,172.75,177.46001,77445800.0
2024-05-20,177.56,177.75,173.52,174.95,61727400.0
2024-05-21,175.50999,186.88,174.71001,186.60001,115266500.0
2024-05-22,182.85001,183.8,178.12,180.11,88313500.0
2024-05-23,181.8,181.89999,173.25999,173.74001,71975500.0
2024-05-24,174.84,180.080002,173.73,179.24001,65479700.0
2024-05-28,176.39999,178.25,173.16,176.75,59736600.0
2024-05-29,174.19,178.14999,173.92999,176.19,54782600.0
2024-05-30,178.58,182.67,175.38,178.78999,77784800.0
2024-05-31,178.5,180.32001,173.82001,178.080002,67314600.0
2024-06-03,178.13,182.64,174.49001,176.28999,68568900.0
2024-06-04,174.78,177.75999,174.0,174.77,60056300.0
2024-06-05,175.35001,176.14999,172.13,175.0,57953800.0
2024-06-06,174.60001,179.73,172.73,177.94,69887000.0
2024-06-07,176.13,179.35001,175.58,177.48,56244900.0
2024-06-10,176.059998,178.57001,173.17,173.78999,50869700.0
2024-06-11,173.92,174.75,167.41,170.66,64761900.0
2024-06-12,171.12,180.55,169.8,177.28999,90389400.0
2024-06-13,188.39,191.080002,181.23,182.47,118984100.0
2024-06-14,185.8,186.0,176.92,178.0099945,82038200.0
2024-06-17,177.92,188.81,177.0,187.44,109786100.0
2024-06-18,186.56,187.2,182.37,184.86,68982300.0
2024-06-20,184.67999,185.21001,179.66,181.57001,55893100.0
2024-06-21,182.3,183.95,180.69,183.0099945,63029500.0
2024-06-24,184.97,188.8,182.55,182.58,61992100.0
2024-06-25,184.39999,187.97,182.0099945,187.35001,63678300.0
2024-06-26,186.53999,197.75999,186.36,196.37,95737100.0
2024-06-27,195.17,198.72,194.050003,197.42,72746500.0
2024-06-28,199.55,203.2,195.25999,197.88,95438100.0
2024-07-01,201.020004,213.23,200.85001,209.86,135691400.0
2024-07-02,218.89,231.3,218.059998,231.25999,205047900.0
2024-07-03,234.56,248.35001,234.25,246.39,166561500.0
2024-07-05,249.81,252.37,242.46001,251.52,154501200.0
2024-07-08,247.71001,259.44,244.57001,252.94,157219600.0
2024-07-09,251.0,265.60999,250.3,262.32999,160210900.0
2024-07-10,262.79999,267.59,257.85999,263.26001,128519400.0
2024-07-11,263.29999,271.0,239.64999,241.029999,221707300.0
2024-07-12,235.8,251.84,233.089996,248.23,155955800.0
2024-07-15,255.97,265.60001,251.73,252.64,146912900.0
2024-07-16,255.31,258.62,245.8,256.56,126332500.0
2024-07-17,252.73,258.47,246.17999,248.5,115584800.0
2024-07-18,251.089996,257.14001,247.2,249.23,110869000.0
2024-07-19,247.78999,249.44,236.83,239.2,87403900.0
2024-07-22,244.21001,253.21001,243.75,251.50999,101225400.0
2024-07-23,253.60001,255.75999,245.63,246.38,111928200.0
2024-07-24,225.42,225.99001,214.71001,215.99001,167942900.0
2024-07-25,216.8,226.0,216.23,220.25,100636500.0
2024-07-26,221.19,222.28,215.33,219.8,94604100.0
2024-07-29,224.89999,234.27,224.7,232.10001,129201800.0
2024-07-30,232.25,232.41,220.0,222.62,100560300.0
2024-07-31,227.89999,234.67999,226.78999,232.070007,67497000.0
2024-08-01,227.69,231.87,214.33,216.86,83861900.0
2024-08-02,214.88,216.13,205.78,207.67,82880100.0
2024-08-05,185.22,203.88,182.0,198.88,100308800.0
2024-08-06,200.75,202.89999,192.67,200.64,73783900.0
2024-08-07,200.77,203.49001,191.48,191.75999,71159800.0
2024-08-08,195.7,200.7,192.039993,198.84,65033900.0
2024-08-09,197.050003,200.88,195.11,200.0,58648300.0
2024-08-12,199.020004,199.25999,194.67,197.49001,64044900.0
2024-08-13,198.47,208.49001,197.059998,207.83,76247400.0
2024-08-14,207.39,208.44,198.75,201.38,70250000.0
2024-08-15,205.020004,215.88,204.82001,214.14,89848500.0
2024-08-16,211.14999,219.8,210.8,216.12,88765100.0
2024-08-19,217.070007,222.98,214.089996,222.72,76435200.0
2024-08-20,224.88,228.22,219.56,221.10001,74001200.0
2024-08-21,222.67,224.66,218.86,223.27,70146000.0
2024-08-22,223.82001,224.8,210.32001,210.66,79514500.0
2024-08-23,214.46001,221.48,214.21001,220.32001,81525200.0
2024-08-26,218.75,219.089996,211.0099945,213.21001,59301200.0
2024-08-27,213.25,215.66,206.94,209.21001,62821400.0
2024-08-28,209.72,211.84,202.59,205.75,64116400.0
2024-08-29,209.8,214.89,205.97,206.28,62308800.0
2024-08-30,208.63,214.57001,207.029999,214.11,63370600.0
2024-09-03,215.25999,219.89999,209.64,210.60001,76714200.0
2024-09-04,210.59,222.22,210.57001,219.41,80651800.0
2024-09-05,223.49001,235.0,222.25,230.17,119355000.0
2024-09-06,232.60001,233.60001,210.50999,210.73,112177000.0
2024-09-09,216.2,219.87,213.67,216.27,67443500.0
2024-09-10,220.070007,226.39999,218.64,226.17,78891100.0
2024-09-11,224.55,228.47,216.8,228.13,83548600.0
2024-09-12,224.66,231.45,223.83,229.81,72020000.0
2024-09-13,228.0,232.67,226.32001,230.28999,59515100.0
2024-09-16,229.3,229.96001,223.53,226.78,54323000.0
2024-09-17,229.45,234.57001,226.55,227.87,66761600.0
2024-09-18,230.089996,235.67999,226.88,227.2,78010200.0
2024-09-19,234.0,244.24001,232.13,243.92,102694600.0
2024-09-20,241.52,243.99001,235.92,238.25,99879100.0
2024-09-23,242.61,250.0,241.92,250.0,86927200.0
2024-09-24,254.080002,257.19,249.050003,254.27,88491000.0
2024-09-25,252.53999,257.049988,252.28,257.019989,65034300.0
2024-09-26,260.60001,261.75,251.53,254.22,67142200.0
2024-09-27,257.38,260.70001,254.12,260.45999,70988100.0
